bnf_name,bnf_code,dose_per_unit,quantity,total_ome
Morphine 10mg tablets,0407020Q0AACDCD,10.0,26518640.0,265186400.0
Fentanyl 25micrograms/hour transdermal patches,0407020A0AAAEAE,1.8,5550749.0,999134812.01
Zomorph 30mg modified-release capsules,0407020Q0BKABEG,30.0,146567189.0,4397015670.0
Oxycodone 20mg / Naloxone 10mg modified-release tablets,0407020AFAAABAB,20.0,4483065.0,134491950.0
MST Continus 30mg tablets,0407020Q0BBABAL,30.0,42294340.0,1268830200.0
Tramadol 50mg modified-release capsules,040702040AAAGAG,50.0,42005219.0,210026095.0
Matrifen 100micrograms/hour transdermal patches,0407020A0BEAEAH,7.2,2423420.0,1744862386.04
Dihydrocodeine 120mg modified-release tablets,0407020G0AAAFAF,120.0,20203832.0,242445984.0
Zomorph 10mg modified-release capsules,0407020Q0BKAAEF,10.0,319733767.0,3197337670.0
Zomorph 100mg modified-release capsules,0407020Q0BKADEB,100.0,15143053.0,1514305300.0
Co-codamol 8mg/500mg effervescent tablets,0407010F0AAACAC,8.0,230766405.0,184613124.0
Matrifen 12micrograms/hour transdermal patches,0407020A0BEAAAU,0.864,6981718.0,603220430.37
Oxycodone 5mg modified-release tablets,0407020ADAAAKAK,5.0,13280959.0,99607192.5
Oxycodone 10mg capsules,0407020ADAAADAD,10.0,22146123.0,332191845.0
MXL 30mg capsules,0407020Q0BIAAEG,30.0,548078.0,16442340.0
MST Continus 10mg tablets,0407020Q0BBAAAK,10.0,86712351.0,867123510.0
Codeine 15mg tablets,0407020C0AAADAD,15.0,878477181.0,1317715771.5
OxyContin_Tab 5mg M/R,0407020ADBCAEAK,5.0,4593752.0,34453140.0
Zapain_Cap 30mg/500mg,0407010F0BSABAD,30.0,25758831.0,77276493.0
Remedeine_Tab,0407010N0BGAAAH,20.0,3007004.0,6014008.0
Durogesic DTrans_T/Derm Patch 12mcg,0407020A0BBAMAU,0.864,1032021.0,89166613.69
Buprenorphine_Patch 20mcg/hr (7day),0407020B0AAAJAJ,3.36,2631877.0,884310664.93
Fentanyl_Transdermal Patch 75mcg/hr,0407020A0AAAGAG,5.4,1509398.0,815074913.48
Durogesic DTrans_T/Derm Patch 50mcg,0407020A0BBAJAF,3.6,1223011.0,440283956.48
OxyContin_Tab 20mg M/R,0407020ADBCABAG,20.0,12115619.0,363468570.0
Co-Codamol_Cap 8mg/500mg,0407010F0AAABAB,8.0,99286493.0,79429194.4
MXL_Cap 60mg,0407020Q0BIABEH,60.0,199552.0,11973120.0
Mst Continus_Tab 100mg,0407020Q0BBADAH,100.0,5036544.0,503654400.0
Buprenorphine_Patch 70mcg/hr (96hr),0407020B0AAAGAG,6.72,710966.0,477769136.71
OxyContin_Tab 40mg M/R,0407020ADBCACAH,40.0,6405528.0,384331680.0
Tramadol HCl_Tab 200mg M/R,040702040AAAEAE,200.0,17763009.0,355260180.0
Morph Sulph_Oral Soln 10mg/5ml,0407020Q0AACNCN,2.0,473609724.0,947219448.0
Codeine Phos_Tab 60mg,0407020C0AAAFAF,60.0,15474157.0,92844942.0
Dihydrocodeine Tart_Tab 90mg M/R,0407020G0AAAEAE,90.0,7675171.0,69076539.0
Morph Sulph_Tab 15mg M/R,0407020Q0AACFCF,15.0,2853711.0,42805665.0
Tramadol HCl/Paracet_Tab 37.5mg/325mg,040702040AAAUAU,37.5,64715469.0,242683008.75
Mst Continus_Tab 10mg,0407020Q0BBAAAK,10.0,53394388.0,533943880.0
Fentanyl_Transdermal Patch 50mcg/hr,0407020A0AAAFAF,3.6,3251271.0,1170457550.64
Mst Continus_Tab 15mg,0407020Q0BBALCF,15.0,6673412.0,100101180.0
Durogesic DTrans_T/Derm Patch 75mcg,0407020A0BBAKAG,5.4,693894.0,374702757.0
Diamorph HCl_Inj 5mg Amp,0407020K0AAAAAA,5.0,961189.0,14417835.0
Oxycodone HCl_Tab 80mg M/R,0407020ADAAAIAI,80.0,5728659.0,687439080.0
Morph Sulf_Cap 30mg M/R,0407020Q0AAEGEG,30.0,1936387.0,58091610.0
Buprenorphine_Patch 35mcg/hr (96hr),0407020B0AAAEAE,3.36,1179066.0,396166163.32
Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,10.0,147361.0,4420830.0
Oxycodone HCl_Tab 40mg M/R,0407020ADAAAHAH,40.0,12121566.0,727293960.0
Pethidine HCl_Tab 50mg,0407020V0AAACAC,50.0,9381908.0,46909540.0
Targinact_Tab 40mg/20mg M/R,0407020AFBBADAD,40.0,573121.0,34387260.0
Matrifen_Patch 100mcg/hr,0407020A0BEAEAH,7.2,766426.0,551826715.59
Buprenorphine_Tab Subling 400mcg S/F,0407020B0AAADAD,0.4,6938796.0,166531104.0
Tramadol HCl_Cap 50mg,040702040AAAAAA,50.0,2046066124.0,10230330620.0
OxyNorm_Cap 20mg,0407020ADBBAEAE,20.0,6715033.0,201450990.0
Solpadol_Cap 30mg/500mg,0407010F0BGACAD,30.0,11327678.0,33983034.0
MXL_Cap 90mg,0407020Q0BIACDU,90.0,189807.0,17082630.0
Temgesic_Tab Subling 200mcg,0407020B0BBAAAB,0.2,3755678.0,45068136.0
OxyContin_Tab 10mg M/R,0407020ADBCAAAF,10.0,14291066.0,214365990.0
Oxycodone HCl_Tab 5mg M/R,0407020ADAAAKAK,5.0,6982700.0,52370250.0
Tramadol HCl_Cap 150mg M/R,040702040AAAIAI,150.0,9317880.0,139768200.0
Diamorph HCl_Inj 30mg Amp,0407020K0AAAEAE,30.0,736563.0,66290670.0
Tradorec XL_Tab 200mg,040702040BIABAE,200.0,467924.0,9358480.0
Buprenorphine_Patch 52.5mcg/hr (96hr),0407020B0AAAFAF,5.04,743450.0,374698788.01
Remedeine Fte_Tab,0407010N0BGABAI,30.0,4625964.0,13877892.0
Marol_Tab 200mg M/R,040702040BNACAE,200.0,2253700.0,45074000.0
Tramadol HCl_Cap 200mg M/R,040702040AAAJAJ,200.0,22821572.0,456431440.0
Morph Sulph_Tab 60mg M/R,0407020Q0AAAIAI,60.0,5664660.0,339879600.0
Fentanyl_Transdermal Patch 100mcg/hr,0407020A0AAAHAH,7.2,2093857.0,1507577027.94
Hydromorphone HCl_Cap 2mg M/R,040702050AAAFAF,2.0,249863.0,2498630.0
Zydol SR_Tab 100mg,040702040BBACAC,100.0,2750232.0,27502320.0
Dhc Continus_Tab 120mg,0407020G0BBACAF,120.0,1808568.0,21702816.0
Fentanyl_Transdermal Patch 25mcg/hr,0407020A0AAAEAE,1.8,5316474.0,956965312.34
Oxycodone HCl_Tab 30mg M/R,0407020ADAAARAR,30.0,2103381.0,94652145.0
Mezolar Matrix_TransdermalPatch 25mcg/hr,0407020A0BFABAE,1.8,228426.0,41116679.67
Morph Sulf_Tab 30mg M/R,0407020Q0AAALAL,30.0,4096147.0,122884410.0
Tramulief SR_Tab 100mg,040702040BKAAAC,100.0,4433810.0,44338100.0
Sevredol_Tab 10mg,0407020Q0BHACCD,10.0,10347578.0,103475780.0
Paracet/Dihydrocodeine_Tab 500mg/30mg,0407010N0AAAIAI,30.0,7912751.0,23738253.0
BuTrans_Transdermal Patch 5mcg/hr,0407020B0BEAAAH,0.84,1871071.0,157169962.74
Dhc Continus_Tab 60mg,0407020G0BBAAAD,60.0,5590931.0,33545586.0
Tramadol 200mg modified-release tablets,040702040AAAEAE,200.0,16465368.0,329307360.0
Durogesic DTrans 12micrograms/hour transdermal patches,0407020A0BBAMAU,0.864,1646233.0,142234530.06
Pethidine 50mg tablets,0407020V0AAACAC,50.0,10430965.0,52154825.0
Marol 150mg modified-release tablets (Teva),040702040BNAEAD,150.0,11038834.0,165582510.0
Oxycodone 10mg / Naloxone 5mg modified-release tablets,0407020AFAAAAAA,10.0,5518887.0,82783305.0
Targinact 5mg/2.5mg modified-release tablets,0407020AFBBACAC,5.0,1780132.0,13350990.0
Durogesic DTrans 25micrograms/hour transdermal patches,0407020A0BBAIAE,1.8,2293068.0,412752236.7
Morphine sulfate 10mg/1ml solution for injection ampoules,0407020Q0AAABAB,10.0,8105035.0,162100700.0
Morphine sulfate 30mg/1ml solution for injection ampoules,0407020Q0AAADAD,30.0,630415.0,37824900.0
Remedeine Forte tablets,0407010N0BGABAI,30.0,23416172.0,70248516.0
Morphine sulfate 20mg/ml oral solution sugar free,0407020Q0AAA6A6,20.0,7767806.0,155356120.0
Oxycodone 5mg capsules,0407020ADAAACAC,5.0,27617247.0,207129352.5
Oxycodone 15mg modified-release tablets,0407020ADAAASAS,15.0,3600179.0,81004027.5
Sevredol 10mg tablets,0407020Q0BHACCD,10.0,24907076.0,249070760.0
Morphine 15mg modified-release tablets,0407020Q0AACFCF,15.0,11856455.0,177846825.0
Oxycodone 80mg modified-release tablets,0407020ADAAAIAI,80.0,4242079.0,509049480.0
Diamorphine 10mg powder for solution for injection ampoules,0407020K0AAABAB,10.0,2545293.0,76358790.0
Co-codamol 8mg/500mg capsules,0407010F0AAABAB,8.0,131080138.0,104864110.4
Co-proxamol 32.5mg/325mg tablets,0407010Q0AAAAAA,32.5,46170025.0,150052581.25
Buprenorphine 35micrograms/hour transdermal patches,0407020B0AAAEAE,3.36,2131927.0,716327449.08
Oxycodone 10mg/ml oral solution sugar free,0407020ADAAABAB,10.0,13627369.0,204410535.0
MST Continus 5mg tablets,0407020Q0BBAKCG,5.0,21104115.0,105520575.0
Fentanyl 100micrograms/hour transdermal patches,0407020A0AAAHAH,7.2,1788737.0,1287890629.7
Codeine 60mg tablets,0407020C0AAAFAF,60.0,24099264.0,144595584.0
Co-codamol 8mg/500mg tablets,0407010F0AAAAAA,8.0,1880142953.0,1504114362.4
Co-codamol 30mg/500mg tablets,0407010F0AAAHAH,30.0,4174520464.0,12523561392.0
Tramadol 50mg soluble tablets sugar free,040702040AAAFAF,50.0,12113845.0,60569225.0
Fentanyl 12micrograms/hour transdermal patches,0407020A0AAAUAU,0.864,5189682.0,448388521.21
Meptazinol 200mg tablets,0407020L0AAABAB,200.0,37516349.0,225098094.0
Co-dydramol 30mg/500mg tablets,0407010N0AAAIAI,30.0,44576485.0,133729455.0
Oxycodone 5mg/5ml oral solution sugar free,0407020ADAAAAAA,1.0,419088421.0,628632631.5
Shortec 5mg capsules,0407020ADBJAAAC,5.0,34706128.0,260295960.0
Mezolar Matrix 25micrograms/hour transdermal patches,0407020A0BFABAE,1.8,1552862.0,279515157.76
Longtec 20mg modified-release tablets,0407020ADBEACAG,20.0,36689712.0,1100691360.0
Marol 100mg modified-release tablets (Teva),040702040BNAFAC,100.0,68914283.0,689142830.0
Targinact_Tab 20mg/10mg M/R,0407020AFBBABAB,20.0,1632572.0,48977160.0
Hydromorphone HCl_Cap 1.3mg,040702050AAAEAE,1.3,470949.0,3061168.5
Morph Sulph_Tab 100mg M/R,0407020Q0AAAHAH,100.0,1990429.0,199042900.0
Palexia_SR Tab 150mg,0407020AGBBAEAE,150.0,26404.0,1584240.0
Transtec_T/Derm Patch 52.5mcg/hr (30mg),0407020B0BDABAF,5.04,246066.0,124017260.03
Morph Sulph_Gran Sach 20mg M/R,0407020Q0AACVCV,20.0,292180.0,5843600.0
Fencino_Transdermal Patch 100mcg/hr,0407020A0BQAEAH,7.2,120348.0,86650559.31
Durogesic DTrans_T/Derm Patch 100mcg,0407020A0BBALAH,7.2,1152865.0,830062793.36
Morph Sulf_Oral Soln 10mg/5ml,0407020Q0AACNCN,2.0,181566564.0,363133128.0
Durogesic DTrans_T/Derm Patch 25mcg,0407020A0BBAIAE,1.8,1561913.0,281144337.75
OxyContin_Tab 30mg M/R,0407020ADBCAHAR,30.0,1155373.0,51991785.0
Zydol_Cap 50mg,040702040BBAAAA,50.0,3023288.0,15116440.0
Morph Sulph_Inj 10mg/1ml Amp,0407020Q0AAABAB,10.0,1061443.0,21228860.0
Marol_Tab 200mg M/R (Teva),040702040BNADAE,200.0,1177385.0,23547700.0
Maxitram SR_Cap 100mg,040702040BPABAH,100.0,1234262.0,12342620.0
Marol_Tab 150mg M/R,040702040BNABAD,150.0,877336.0,13160040.0
Tramacet_Tab 37.5mg/325mg,040702040BFAAAU,37.5,20821514.0,78080677.5
Transtec_T/Derm Patch 70mcg/hr (40mg),0407020B0BDACAG,6.72,251851.0,169243866.58
Marol_Tab 100mg M/R,040702040BNAAAC,100.0,5853830.0,58538300.0
Zamadol_Cap 50mg,040702040BDAAAA,50.0,1490493.0,7452465.0
Tramadol HCl_Orodisper Tab 50mg,040702040AAATAT,50.0,3689223.0,18446115.0
MXL_Cap 30mg,0407020Q0BIAAEG,30.0,302501.0,9075030.0
Transtec_T/Derm Patch 35mcg/hr (20mg),0407020B0BDAAAE,3.36,376292.0,126434107.95
Sevredol_Tab 50mg,0407020Q0BHAFDR,50.0,1592888.0,79644400.0
Matrifen_Patch 50mcg/hr,0407020A0BEACAF,3.6,1221249.0,439649636.48
Mezolar Matrix_TransdermalPatch 12mcg/hr,0407020A0BFAAAU,0.864,167248.0,14450227.08
Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,50.0,148044.0,22206600.0
Morph Sulph_Cap 30mg M/R,0407020Q0AAEGEG,30.0,5825473.0,174764190.0
Zapain_Capl 30mg/500mg,0407010F0BSAAAH,30.0,155990996.0,467972988.0
Dihydrocodeine Tart_Oral Soln 10mg/5ml,0407020G0AAAAAA,2.0,5363675.0,1072735.0
Zydol SR_Tab 50mg,040702040BBAKAY,50.0,429013.0,2145065.0
Oramorph_Oral Soln Conc 20mg/ml S/F,0407020Q0BCABA6,20.0,6599760.0,131995200.0
Tradorec XL_Tab 100mg,040702040BIAAAC,100.0,400444.0,4004440.0
Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,10.0,424846.0,12745380.0
Morph Sulf_Tab 10mg,0407020Q0AACDCD,10.0,2767169.0,27671690.0
Palladone_Cap 2.6mg,040702050BBABAD,2.6,133369.0,1733797.0
Morph Sulph_Tab 5mg M/R,0407020Q0AACGCG,5.0,3306786.0,16533930.0
Morphgesic SR_Tab 100mg,0407020Q0BNADAH,100.0,505057.0,50505700.0
Hydromorphone HCl_Cap 8mg M/R,040702050AAACAC,8.0,193512.0,7740480.0
Solpadeine Max_Tab 12.8mg/500mg,0407010F0BPAAAP,12.8,123636.0,158254.08
Palladone-SR_Cap 2mg,040702050BBACAF,2.0,92071.0,920710.0
Mst Continus_Susp Gran Sach 20mg,0407020Q0BBAFCV,20.0,472717.0,9454340.0
BuTrans_Transdermal Patch 20mcg/hr,0407020B0BEACAJ,3.36,1096315.0,368361837.05
Oxycodone HCl/NaloxoneHCl_Tab 20/10mgM/R,0407020AFAAABAB,20.0,2735135.0,82054050.0
Methadone HCl_Inj 10mg/ml 5ml Amp,0407020M0AAANAN,10.0,97709.0,2931270.0
Zamadol SR_Cap 100mg,040702040BDACAH,100.0,1667883.0,16678830.0
Oxycodone HCl/NaloxoneHCl_Tab 40/20mgM/R,0407020AFAAADAD,40.0,956601.0,57396060.0
Fencino_Transdermal Patch 12mcg/hr,0407020A0BQAAAU,0.864,226696.0,19586534.24
Morph Sulph_Gran Sach 100mg M/R,0407020Q0AADDDD,100.0,53384.0,5338400.0
Zydol SR_Tab 150mg,040702040BBADAD,150.0,485548.0,7283220.0
Morphgesic SR_Tab 30mg,0407020Q0BNABAL,30.0,2738711.0,82161330.0
Pentazocine HCl_Tab 25mg,0407020T0AAABAB,25.0,905836.0,8378983.0
Morphgesic SR_Tab 10mg,0407020Q0BNAAAK,10.0,5305364.0,53053640.0
OxyContin_Tab 120mg M/R,0407020ADBCAFAP,120.0,290933.0,52367940.0
Morph Sulph_Gran Sach 30mg M/R,0407020Q0AACPCP,30.0,196250.0,5887500.0
Morph Sulph_Cap 60mg M/R,0407020Q0AAEHEH,60.0,2449305.0,146958300.0
Zeridame SR_Tab 100mg,040702040BLAAAC,100.0,97695.0,976950.0
Oxycodone HCl_Cap 20mg,0407020ADAAAEAE,20.0,9950087.0,298502610.0
Pethidine HCl_Inj 50mg/ml 2ml Amp,0407020V0AAAEAE,50.0,153178.0,1838136.0
Fentanyl_Loz 400mcg,0407020A0AAAJAJ,0.4,720869.0,37485188.0
Morph Sulph_Conc Soln 20mg/ml S/F,0407020Q0AAA6A6,20.0,3983116.0,79662320.0
Meptid_Tab 200mg,0407020L0BBAAAB,200.0,1243804.0,7462824.0
Fentanyl_Tab Sublingual 100mcg S/F,0407020A0AAAWAW,0.1,250973.0,3262649.0
Methadone HCl_Inj 10mg/ml 3.5ml Amp,0407020M0AAATAT,10.0,36231.0,1086930.0
OxyContin_Tab 15mg M/R,0407020ADBCAIAS,15.0,464083.0,10441867.5
