,presentation,bnf_code,dose_per_unit_x,new_ome_multiplier,ome_dose,name,unit_dose,dose_per_unit_y,total_ome,ome_diff,ome_diff_multi
28,Morphine 10mg modified-release tablets,0407020Q0AAAKAK,10.0,1.0,10.0,Morphine 10mg modified-release tablets,1,10.0,10.0,0.0,1.0
29,Longtec 15mg modified-release tablets,0407020ADBEAGAS,15.0,2.0,30.0,Oxycodone 15mg modified-release tablets,1,15.0,22.5,-7.5,0.75
30,Fentanyl 50micrograms/hour transdermal patches,0407020A0AAAFAF,3.6,100.0,360.0,Fentanyl 50micrograms/hour transdermal patches,1,3.6,360.0,0.0,1.0
31,Tapentadol 250mg modified-release tablets,0407020AGAAAGAG,250.0,0.4,100.0,Tapentadol 250mg modified-release tablets,1,250.0,100.0,0.0,1.0
32,Morphine 100mg modified-release granules sachets sugar free,0407020Q0AADDDD,100.0,1.0,100.0,Morphine 100mg modified-release granules sachets sugar free,1,100.0,100.0,0.0,1.0
33,Osmach 75micrograms/hour transdermal patches,0407020A0BHACAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
34,Co-dydramol 10mg/500mg tablets,0407010N0AAAAAA,10.0,0.1,1.0,Co-dydramol 10mg/500mg tablets,1,10.0,1.0,0.0,1.0
35,Buprenorphine 35micrograms/hour transdermal patches,0407020B0AAAEAE,3.36,100.0,336.0,Buprenorphine 35micrograms/hour transdermal patches,1,3.36,336.0,0.0,1.0
36,Meptid 200mg tablets,0407020L0BBAAAB,200.0,0.03,6.0,Meptazinol 200mg tablets,1,200.0,6.0,0.0,1.0
37,Morphine 0.2% gel,0407020Q0AAFUFU,,,0.0,,,,,,
38,Diamorphine 5mg suppositories,0407020K0AACUCU,5.0,3.0,15.0,Diamorphine 5mg suppositories,1,5.0,5.0,-10.0,0.3333333333333333
39,Fentanyl 12micrograms/hour transdermal patches,0407020A0AAAUAU,0.864,100.0,86.4,Fentanyl 12micrograms/hour transdermal patches,1,0.864,86.4,0.0,1.0
40,Tramadol 200mg modified-release tablets,040702040AAAEAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
41,Oxypro 40mg modified-release tablets,0407020ADBSAFAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
42,Abstral 600microgram sublingual tablets,0407020A0BJAEBA,0.6,130.0,78.0,Fentanyl 600microgram sublingual tablets sugar free,1,0.6,78.0,0.0,1.0
43,MST Continus suspension 200mg granules sachets,0407020Q0BBAJDE,200.0,1.0,200.0,Morphine 200mg modified-release granules sachets sugar free,1,200.0,200.0,0.0,1.0
44,Carexil 10mg modified-release tablets,0407020ADBDABAF,10.0,2.0,20.0,Oxycodone 10mg modified-release tablets,1,10.0,15.0,-5.0,0.75
45,Hydromorphone 10mg/1ml solution for injection ampoules,040702050AAANAN,10.0,5.0,50.0,Hydromorphone 10mg/1ml solution for injection ampoules,1,10.0,50.0,0.0,1.0
46,Osmach 50micrograms/hour transdermal patches,0407020A0BHABAF,3.6,100.0,360.0,Fentanyl 50micrograms/hour transdermal patches,1,3.6,360.0,0.0,1.0
47,Breakyl 200microgram buccal films,0407020A0BSAABT,0.2,180.0,36.0,Fentanyl 200microgram buccal films sugar free,1,0.2,26.0,-10.0,0.7222222222222222
48,Solpadol 30mg/500mg caplets,0407010F0BGABAH,30.0,0.1,3.0,Co-codamol 30mg/500mg tablets,1,30.0,3.0,0.0,1.0
49,Morphine 20mg tablets,0407020Q0AACECE,20.0,1.0,20.0,Morphine 20mg tablets,1,20.0,20.0,0.0,1.0
50,Targinact 5mg/2.5mg modified-release tablets,0407020AFBBACAC,5.0,2.0,10.0,Oxycodone 5mg / Naloxone 2.5mg modified-release tablets,1,5.0,7.5,-2.5,0.75
51,Victanyl 50micrograms/hour transdermal patches,0407020A0BMABAF,3.6,100.0,360.0,Fentanyl 50micrograms/hour transdermal patches,1,3.6,360.0,0.0,1.0
52,MST Continus suspension 30mg granules sachets,0407020Q0BBAGCP,30.0,1.0,30.0,Morphine 30mg modified-release granules sachets sugar free,1,30.0,30.0,0.0,1.0
53,Morphine 100mg modified-release tablets,0407020Q0AAAHAH,100.0,1.0,100.0,Morphine 100mg modified-release tablets,1,100.0,100.0,0.0,1.0
54,Palexia SR 50mg tablets,0407020AGBBACAC,50.0,0.4,20.0,Tapentadol 50mg modified-release tablets,1,50.0,20.0,0.0,1.0
55,Zamadol SR 200mg capsules,040702040BDAEAJ,200.0,0.1,20.0,Tramadol 200mg modified-release capsules,1,200.0,20.0,0.0,1.0
56,OxyNorm 50mg/1ml solution for injection ampoules,0407020ADBBAHAN,50.0,2.0,100.0,Oxycodone 50mg/1ml solution for injection ampoules,1,50.0,150.0,50.0,1.5
57,Codeine 6.75mg/5ml oral solution,0407020C0AABABA,1.35,0.1,0.135,Codeine 6.75mg/5ml oral solution,5,1.35,0.14,0.0,1.037037037037037
58,Diamorphine 50mg/5ml oral solution,0407020K0AADGDG,10.0,1.0,10.0,Diamorphine 50mg/5ml oral solution,1,10.0,10.0,0.0,1.0
59,Matrifen 100micrograms/hour transdermal patches,0407020A0BEAEAH,7.2,100.0,720.0,Fentanyl 100micrograms/hour transdermal patches,1,7.2,720.0,0.0,1.0
60,Victanyl 25micrograms/hour transdermal patches,0407020A0BMAAAE,1.8,100.0,180.0,Fentanyl 25micrograms/hour transdermal patches,1,1.8,180.0,0.0,1.0
61,Palexia 50mg tablets,0407020AGBBAAAA,50.0,0.4,20.0,Tapentadol 50mg tablets,1,50.0,20.0,0.0,1.0
62,Effentora 600microgram buccal tablets,0407020A0BKADBF,0.6,130.0,78.0,Fentanyl 600microgram buccal tablets sugar free,1,0.6,78.0,0.0,1.0
63,Renocontin 10mg modified-release tablets,0407020ADBRABAF,10.0,2.0,20.0,Oxycodone 10mg modified-release tablets,1,10.0,15.0,-5.0,0.75
64,Morphine hydrochloride 10mg suppositories,0407020P0AAAQAQ,10.0,1.0,10.0,Morphine hydrochloride 10mg suppositories,1,10.0,10.0,0.0,1.0
65,Oxylan 10mg modified-release tablets (Actavis),0407020ADBFAGAF,10.0,2.0,20.0,Oxycodone 10mg modified-release tablets,1,10.0,15.0,-5.0,0.75
66,Tradorec XL 100mg tablets,040702040BIAAAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
67,Abstral 300microgram sublingual tablets,0407020A0BJACAY,0.3,130.0,39.0,Fentanyl 300microgram sublingual tablets sugar free,1,0.3,39.0,0.0,1.0
68,Papaveretum 40mg/1ml solution for injection ampoules,0407020ABAAAKAK,40.0,1.0,40.0,Papaveretum 40mg/1ml solution for injection ampoules,1,40.0,308.0,268.0,7.7
69,Zydol 100mg/2ml solution for injection ampoules,040702040BBABAB,100.0,0.1,10.0,Tramadol 100mg/2ml solution for injection ampoules,2,50.0,5.0,-5.0,0.5
70,Tramadol 50mg capsules,040702040AAAAAA,50.0,0.1,5.0,Tramadol 50mg capsules,1,50.0,5.0,0.0,1.0
71,OxyNorm 5mg capsules,0407020ADBBACAC,5.0,2.0,10.0,Oxycodone 5mg capsules,1,5.0,7.5,-2.5,0.75
72,Tramadol 50mg modified-release capsules,040702040AAAGAG,50.0,0.1,5.0,Tramadol 50mg modified-release capsules,1,50.0,5.0,0.0,1.0
73,Tramadol 50mg orodispersible tablets sugar free,040702040AAATAT,50.0,0.1,5.0,Tramadol 50mg orodispersible tablets sugar free,1,50.0,5.0,0.0,1.0
74,Oxeltra 40mg modified-release tablets,0407020ADBLAEAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
75,Zydol XL 150mg tablets,040702040BBAGAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
76,Bunov 5micrograms/hour transdermal patches,0407020B0BUAAAH,0.84,100.0,84.0,Buprenorphine 5micrograms/hour transdermal patches,1,0.84,84.0,0.0,1.0
77,Opiodur 75micrograms/hour transdermal patches (RX Farma),0407020A0BRAIAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
78,Zytram SR 150mg tablets,040702040BVAAAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
79,Meptazinol 200mg tablets,0407020L0AAABAB,200.0,0.03,6.0,Meptazinol 200mg tablets,1,200.0,6.0,0.0,1.0
80,Tapentadol 50mg modified-release tablets,0407020AGAAACAC,50.0,0.4,20.0,Tapentadol 50mg modified-release tablets,1,50.0,20.0,0.0,1.0
81,Diamorphine 30mg powder for solution for injection vials,0407020K0AAEMEM,30.0,3.0,90.0,Diamorphine 30mg powder for solution for injection vials,1,30.0,90.0,0.0,1.0
82,Targinact 10mg/5mg modified-release tablets,0407020AFBBAAAA,10.0,2.0,20.0,Oxycodone 10mg / Naloxone 5mg modified-release tablets,1,10.0,15.0,-5.0,0.75
83,Hydromorphone 2mg modified-release capsules,040702050AAAFAF,2.0,5.0,10.0,Hydromorphone 2mg modified-release capsules,1,2.0,10.0,0.0,1.0
84,Morphine 30mg modified-release granules sachets sugar free,0407020Q0AACPCP,30.0,1.0,30.0,Morphine 30mg modified-release granules sachets sugar free,1,30.0,30.0,0.0,1.0
85,Lynlor 20mg capsules,0407020ADBHACAE,20.0,2.0,40.0,Oxycodone 20mg capsules,1,20.0,30.0,-10.0,0.75
86,Dypracet 20mg/500mg tablets,0407010N0BFAAAH,20.0,0.1,2.0,Co-dydramol 20mg/500mg tablets,1,20.0,2.0,0.0,1.0
87,Codeine 30mg tablets,0407020C0AAAEAE,30.0,0.1,3.0,Codeine 30mg tablets,1,30.0,3.0,0.0,1.0
88,BuTrans 15micrograms/hour transdermal patches,0407020B0BEADAK,2.52,100.0,252.0,Buprenorphine 15micrograms/hour transdermal patches,1,2.52,252.0,0.0,1.0
89,Zydol SR 200mg tablets,040702040BBAEAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
90,Temgesic 200microgram sublingual tablets,0407020B0BBAAAB,0.2,60.0,12.0,Buprenorphine 200microgram sublingual tablets sugar free,1,0.2,12.0,0.0,1.0
91,Reltebon 60mg modified-release tablets,0407020ADBKAHAQ,60.0,2.0,120.0,Oxycodone 60mg modified-release tablets,1,60.0,90.0,-30.0,0.75
92,Oxycodone 20mg/2ml solution for injection ampoules,0407020ADAAAMAM,20.0,2.0,40.0,Oxycodone 20mg/2ml solution for injection ampoules,2,10.0,30.0,-10.0,0.75
93,Fentanyl 400microgram sublingual tablets sugar free,0407020A0AAAZAZ,0.4,130.0,52.0,Fentanyl 400microgram sublingual tablets sugar free,1,0.4,52.0,0.0,1.0
94,Codeine 60mg/1ml solution for injection ampoules,0407020C0AAAAAA,60.0,0.1,6.0,Codeine 60mg/1ml solution for injection ampoules,1,60.0,6.0,0.0,1.0
95,Morphine sulfate 10mg/10ml inj pre-filled syringes,0407020Q0AAFJFJ,1.0,2.0,2.0,Morphine sulfate 10mg/10ml solution for injection pre-filled syringes,10,1.0,2.0,0.0,1.0
96,Methadone 50mg capsules,0407020M0AABLBL,50.0,3.0,150.0,Methadone 50mg capsules,1,50.0,150.0,0.0,1.0
97,Co-codamol 15mg/500mg tablets,0407010F0AAAKAK,15.0,0.1,1.5,Co-codamol 15mg/500mg tablets,1,15.0,1.5,0.0,1.0
98,Mezolar Matrix 50micrograms/hour transdermal patches,0407020A0BFACAF,3.6,100.0,360.0,Fentanyl 50micrograms/hour transdermal patches,1,3.6,360.0,0.0,1.0
99,Morphine 30mg modified-release capsules,0407020Q0AAEGEG,30.0,1.0,30.0,Morphine 30mg modified-release capsules,1,30.0,30.0,0.0,1.0
100,Zydol SR 150mg tablets,040702040BBADAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
101,Zamadol Melt 50mg tablets,040702040BDAGAT,50.0,0.1,5.0,Tramadol 50mg orodispersible tablets sugar free,1,50.0,5.0,0.0,1.0
102,Diamorphine 40mg impregnated cigarettes,0407020K0AADCDC,40.0,1.0,40.0,Diamorphine 40mg impregnated cigarettes,1,40.0,40.0,0.0,1.0
103,Morphine hydrochloride powder,0407020P0AAADAD,,,0.0,,,,,,
104,OxyContin 80mg modified-release tablets,0407020ADBCADAI,80.0,2.0,160.0,Oxycodone 80mg modified-release tablets,1,80.0,120.0,-40.0,0.75
105,Transtec 52.5micrograms/hour transdermal patches,0407020B0BDABAF,5.04,100.0,504.0,Buprenorphine 52.5micrograms/hour transdermal patches,1,5.04,504.0,0.0,1.0
106,Oxylan 20mg modified-release tablets (Chanelle Medical),0407020ADBFACAG,20.0,2.0,40.0,Oxycodone 20mg modified-release tablets,1,20.0,30.0,-10.0,0.75
107,Morphine 60mg modified-release capsules,0407020Q0AAEHEH,60.0,1.0,60.0,Morphine 60mg modified-release capsules,1,60.0,60.0,0.0,1.0
108,Bunov 20micrograms/hour transdermal patches,0407020B0BUACAJ,3.36,100.0,336.0,Buprenorphine 20micrograms/hour transdermal patches,1,3.36,336.0,0.0,1.0
109,Morphine sulfate 10mg suppositories,0407020Q0AACQCQ,10.0,1.0,10.0,Morphine sulfate 10mg suppositories,1,10.0,10.0,0.0,1.0
110,Carexil 20mg modified-release tablets,0407020ADBDACAG,20.0,2.0,40.0,Oxycodone 20mg modified-release tablets,1,20.0,30.0,-10.0,0.75
111,Morphine sulfate 2mg/10ml solution for injection ampoules,0407020Q0AAAAAA,2.0,2.0,4.0,Morphine sulfate 2mg/10ml solution for injection ampoules,10,0.2,0.4,-3.6,0.1
112,OxyContin 20mg modified-release tablets,0407020ADBCABAG,20.0,2.0,40.0,Oxycodone 20mg modified-release tablets,1,20.0,30.0,-10.0,0.75
113,Zapain 30mg/500mg tablets,0407010F0BSAAAH,30.0,0.1,3.0,Co-codamol 30mg/500mg tablets,1,30.0,3.0,0.0,1.0
114,Fentalis Reservoir 100micrograms/hour transdermal patches,0407020A0BGADAH,7.2,100.0,720.0,Fentanyl 100micrograms/hour transdermal patches,1,7.2,720.0,0.0,1.0
115,Morphine 150mg modified-release capsules,0407020Q0AADWDW,150.0,1.0,150.0,Morphine 150mg modified-release capsules,1,150.0,150.0,0.0,1.0
116,Longtec 20mg modified-release tablets,0407020ADBEACAG,20.0,2.0,40.0,Oxycodone 20mg modified-release tablets,1,20.0,30.0,-10.0,0.75
117,Targinact 20mg/10mg modified-release tablets,0407020AFBBABAB,20.0,2.0,40.0,Oxycodone 20mg / Naloxone 10mg modified-release tablets,1,20.0,30.0,-10.0,0.75
118,Zydol SR 50mg tablets,040702040BBAKAY,50.0,0.1,5.0,Tramadol 50mg modified-release tablets,1,50.0,5.0,0.0,1.0
119,Filnarine SR 30mg tablets,0407020Q0BMABAL,30.0,1.0,30.0,Morphine 30mg modified-release tablets,1,30.0,30.0,0.0,1.0
120,Pethidine 100mg/2ml / Promethazine 50mg/2ml inj ampoules,0407020V0AAAIAI,100.0,0.24,24.0,Pethidine 100mg/2ml / Promethazine 50mg/2ml solution for injection ampoules,2,50.0,12.0,-12.0,0.5
121,Medocodene 30mg/500mg effervescent tablets,0407010F0BRABAF,30.0,0.1,3.0,Co-codamol 30mg/500mg effervescent tablets,1,30.0,3.0,0.0,1.0
122,Morphine sulfate 300mg/10ml solution for injection ampoules,0407020Q0AAFKFK,300.0,2.0,600.0,Morphine sulfate 300mg/10ml solution for injection ampoules,10,30.0,60.0,-540.0,0.1
123,Morphine sulfate 20mg suppositories,0407020Q0AACRCR,20.0,1.0,20.0,Morphine sulfate 20mg suppositories,1,20.0,20.0,0.0,1.0
124,Morphine sulfate 50mg/5ml solution for injection ampoules,0407020Q0AAFWFW,50.0,2.0,100.0,Morphine sulfate 50mg/5ml solution for injection ampoules,5,10.0,20.0,-80.0,0.2
125,Tilodol SR 100mg tablets,040702040BSAAAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
126,Tephine 200microgram sublingual tablets,0407020B0BFAAAB,0.2,60.0,12.0,Buprenorphine 200microgram sublingual tablets sugar free,1,0.2,12.0,0.0,1.0
127,Abtard 10mg modified-release tablets,0407020ADBMABAF,10.0,2.0,20.0,Oxycodone 10mg modified-release tablets,1,10.0,15.0,-5.0,0.75
128,Oxycodone 120mg modified-release tablets,0407020ADAAAPAP,120.0,2.0,240.0,Oxycodone 120mg modified-release tablets,1,120.0,180.0,-60.0,0.75
129,Palexia SR 100mg tablets,0407020AGBBADAD,100.0,0.4,40.0,Tapentadol 100mg modified-release tablets,1,100.0,40.0,0.0,1.0
130,Palexia SR 200mg tablets,0407020AGBBAFAF,200.0,0.4,80.0,Tapentadol 200mg modified-release tablets,1,200.0,80.0,0.0,1.0
131,Zeridame SR 100mg tablets,040702040BLAAAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
132,Opiodur 12micrograms/hour transdermal patches (Pfizer),0407020A0BRAAAU,0.864,100.0,86.4,Fentanyl 12micrograms/hour transdermal patches,1,0.864,86.4,0.0,1.0
133,Breakyl 400microgram buccal films,0407020A0BSABBU,0.4,180.0,72.0,Fentanyl 400microgram buccal films sugar free,1,0.4,52.0,-20.0,0.7222222222222222
134,Palladone 10mg/1ml solution for injection ampoules,040702050BBAJAN,10.0,5.0,50.0,Hydromorphone 10mg/1ml solution for injection ampoules,1,10.0,50.0,0.0,1.0
135,Diamorphine 100mg powder for solution for injection ampoules,0407020K0AAAFAF,100.0,3.0,300.0,Diamorphine 100mg powder for solution for injection ampoules,1,100.0,300.0,0.0,1.0
136,Cyclimorph 10 solution for injection 1ml ampoules,040702020BBAAAA,10.0,2.0,20.0,Morphine tartrate 10mg/1ml / Cyclizine tartrate 50mg/1ml solution for injection ampoules,1,10.0,20.0,0.0,1.0
137,Tramadol 100mg/2ml solution for injection ampoules,040702040AAABAB,100.0,0.1,10.0,Tramadol 100mg/2ml solution for injection ampoules,2,50.0,5.0,-5.0,0.5
138,Oxylan 10mg modified-release tablets (Chanelle Medical),0407020ADBFABAF,10.0,2.0,20.0,Oxycodone 10mg modified-release tablets,1,10.0,15.0,-5.0,0.75
139,Palexia 75mg tablets,0407020AGBBABAB,75.0,0.4,30.0,Tapentadol 75mg tablets,1,75.0,30.0,0.0,1.0
140,Morphine sulfate 500micrograms/5ml oral solution,0407020Q0AAFDFD,0.1,1.0,0.1,Morphine sulfate 500micrograms/5ml oral solution,1,0.1,0.1,0.0,1.0
141,Morphine sulfate 30mg/30ml solution for infusion vials,0407020Q0AAFPFP,30.0,2.0,60.0,Morphine sulfate 30mg/30ml solution for infusion vials,30,1.0,2.0,-58.0,0.03333333333333333
142,Codeine 30mg/1ml solution for injection ampoules,0407020C0AAAHAH,30.0,0.1,3.0,Codeine 30mg/1ml solution for injection ampoules,1,30.0,3.0,0.0,1.0
143,Morphine sulfate 5mg/1ml solution for injection ampoules,0407020Q0AAA2A2,5.0,2.0,10.0,Morphine sulfate 5mg/1ml solution for injection ampoules,1,5.0,10.0,0.0,1.0
144,Shortec 5mg capsules,0407020ADBJAAAC,5.0,2.0,10.0,Oxycodone 5mg capsules,1,5.0,7.5,-2.5,0.75
145,Oxycodone 10mg / Naloxone 5mg modified-release tablets,0407020AFAAAAAA,10.0,2.0,20.0,Oxycodone 10mg / Naloxone 5mg modified-release tablets,1,10.0,15.0,-5.0,0.75
146,Physeptone 50mg/1ml solution for injection ampoules,0407020M0BBAIAC,50.0,3.0,150.0,Methadone 50mg/1ml solution for injection ampoules,1,50.0,150.0,0.0,1.0
147,Zytram SR 75mg tablets,040702040BVABAP,75.0,0.1,7.5,Tramadol 75mg modified-release tablets,1,75.0,7.5,0.0,1.0
148,Opiodur 100micrograms/hour transdermal patches (Pfizer),0407020A0BRADAH,7.2,100.0,720.0,Fentanyl 100micrograms/hour transdermal patches,1,7.2,720.0,0.0,1.0
149,Diamorphine 5mg/5ml oral solution,0407020K0AADKDK,1.0,1.0,1.0,Diamorphine 5mg/5ml oral solution,1,1.0,1.0,0.0,1.0
150,Diamorphine 130mg/5ml oral solution,0407020K0AAFNFN,26.0,1.0,26.0,Diamorphine 130mg/5ml oral solution,1,26.0,26.0,0.0,1.0
151,Diamorphine 30mg impregnated cigarettes,0407020K0AABFBF,30.0,1.0,30.0,Diamorphine 30mg impregnated cigarettes,1,30.0,30.0,0.0,1.0
152,Tapentadol 100mg modified-release tablets,0407020AGAAADAD,100.0,0.4,40.0,Tapentadol 100mg modified-release tablets,1,100.0,40.0,0.0,1.0
153,Oxycodone 40mg / Naloxone 20mg modified-release tablets,0407020AFAAADAD,40.0,2.0,80.0,Oxycodone 40mg / Naloxone 20mg modified-release tablets,1,40.0,60.0,-20.0,0.75
154,Dromadol SR 200mg tablets,040702040BEADAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
155,Hydromorphone 24mg modified-release capsules,040702050AAABAB,24.0,5.0,120.0,Hydromorphone 24mg modified-release capsules,1,24.0,120.0,0.0,1.0
156,Morphine 200mg modified-release capsules,0407020Q0AAEIEI,200.0,1.0,200.0,Morphine 200mg modified-release capsules,1,200.0,200.0,0.0,1.0
157,Methadone 50mg/2ml solution for injection ampoules,0407020M0AAA6A6,50.0,3.0,150.0,Methadone 50mg/2ml solution for injection ampoules,2,25.0,75.0,-75.0,0.5
158,Filnarine SR 200mg tablets,0407020Q0BMAEAG,200.0,1.0,200.0,Morphine 200mg modified-release tablets,1,200.0,200.0,0.0,1.0
159,Morphine 30mg modified-release tablets,0407020Q0AAALAL,30.0,1.0,30.0,Morphine 30mg modified-release tablets,1,30.0,30.0,0.0,1.0
160,Buprenorphine 52.5micrograms/hour transdermal patches,0407020B0AAAFAF,5.04,100.0,504.0,Buprenorphine 52.5micrograms/hour transdermal patches,1,5.04,504.0,0.0,1.0
161,Oxeltra 30mg modified-release tablets,0407020ADBLACAR,30.0,2.0,60.0,Oxycodone 30mg modified-release tablets,1,30.0,45.0,-15.0,0.75
162,Oxypro 60mg modified-release tablets,0407020ADBSAGAQ,60.0,2.0,120.0,Oxycodone 60mg modified-release tablets,1,60.0,90.0,-30.0,0.75
163,Renocontin 40mg modified-release tablets,0407020ADBRAFAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
164,Cynril 800microgram loz with integral oromucosal applicator,0407020A0BWADAL,0.8,100.0,80.0,Fentanyl 800microgram lozenges,1,0.8,104.0,24.0,1.3
165,Morphine sulfate 10mg/5ml oral solution,0407020Q0AACNCN,2.0,1.0,2.0,Morphine sulfate 10mg/5ml oral solution,5,2.0,2.0,0.0,1.0
